,Name,Area,Furnishing,Transaction,Status,Price
0,4 BHK Apartment for Sale in Sugam Morya,1850 sqft,Unfurnished,Resale,Ready to Move,₹2.38 Cr
1,2 BHK Apartment for Sale in Regent Park Kolkata,525 sqft,Unfurnished,Resale,Ready to Move,₹32 Lac
2,2 BHK Apartment for Sale in Parvati Garden,705 sqft,Unfurnished,Resale,Ready to Move,₹32 Lac
3,3 BHK Apartment for Sale in Multicon Estelle,1612 sqft,Unfurnished,Resale,Ready to Move,₹2.25 Cr
4,2 BHK Apartment for Sale in Golpark Cooperative Housing Society,980 sqft,Semi-Furnished,Resale,Ready to Move,₹50 Lac
5,2 BHK Apartment for Sale in Shyam Vihar Phase 2,850 sqft,Semi-Furnished,Resale,Ready to Move,₹38 Lac
6,Office Space for Sale in Ballygunge Kolkata,268 sqft,Semi-Furnished,Resale,Ready to Move,₹45 Lac
7,Shop for Sale in Vip Road Kolkata,580 sqft,Semi-Furnished,Resale,Ready to Move,₹55 Lac
8,3 BHK Apartment for Sale in Urban Heights,1241 sqft,Semi-Furnished,Resale,Ready to Move,₹1.25 Cr
9,3 BHK House for Sale in Thakurpukur Kolkata,1836 sqft,Unfurnished,Resale,Ready to Move,₹85 Lac
10,2 BHK Apartment for Sale in Rajarhat Kolkata,1140 sqft,Semi-Furnished,Resale,Ready to Move,₹1.60 Cr
11,2 BHK Apartment for Sale in Batanagar Kolkata,580 sqft,Furnished,Resale,Ready to Move,₹35 Lac
12,2 BHK Builder Floor for Sale in Buroshibtalla,750 sqft,Semi-Furnished,Resale,Ready to Move,₹59 Lac
13,2 BHK Apartment for Sale in Parnasree Palli Kolkata,652 sqft,Unfurnished,Resale,Ready to Move,₹51 Lac
14,3 BHK Apartment for Sale in Baguiati Kolkata,750 sqft,Semi-Furnished,Resale,Ready to Move,₹60 Lac
15,3 BHK Apartment for Sale in Batanagar Kolkata,820 sqft,Semi-Furnished,Resale,Ready to Move,₹42 Lac
16,3 BHK Apartment for Sale in Behala Kolkata,1000 sqft,Unfurnished,Resale,Ready to Move,₹75 Lac
17,3 BHK Apartment for Sale in Behala Chowrasta Kolkata,720 sqft,Unfurnished,Resale,Ready to Move,₹35 Lac
18,3 BHK House for Sale in Haridevpur,1817 sqft,Furnished,Resale,Ready to Move,₹84 Lac
19,3 BHK Apartment for Sale in Motilal Gupta Road Kolkata,1100 sqft,Unfurnished,Resale,Ready to Move,₹30 Lac
20,6 BHK House for Sale in Bangur Avenue,4400 sqft,Unfurnished,Resale,Ready to Move,₹2.80 Cr
21,5 BHK House for Sale in Ballygunge Kolkata,2142 sqft,Unfurnished,Resale,Ready to Move,₹1.45 Cr
22,2 BHK Apartment for Sale in Golf Towers,853 sqft,Semi-Furnished,Resale,Ready to Move,₹85 Lac
23,Showroom for Sale in Kankurgachi Kolkata,1675 sqft,Semi-Furnished,Resale,Ready to Move,₹2.50 Cr
24,Shop for Sale in Meena Florence,386 sqft,Unfurnished,Resale,Ready to Move,₹37 Lac
25,3 BHK Apartment for Sale in Greenfield City Classic Premium,850 sqft,Semi-Furnished,Resale,Ready to Move,₹50 Lac
26,2 BHK Apartment for Sale in Classic Tower,1120 sqft,,Resale,Ready to Move,₹1.50 Cr
27,1 BHK Apartment for Sale in Mukundapur Kolkata,272 sqft,,Resale,Ready to Move,₹15 Lac
28,3 BHK Apartment for Sale in Koyla Vihar Vasundhara,1800 sqft,,Resale,Ready to Move,₹1.35 Cr
29,3 BHK Apartment for Sale in Lake Town Kolkata,928 sqft,,,Ready to Move,₹42 Lac
30,4 BHK Apartment for Sale in Sugam Morya,1850 sqft,Unfurnished,Resale,Ready to Move,₹2.38 Cr
31,2 BHK Apartment for Sale in Regent Park Kolkata,525 sqft,Unfurnished,Resale,Ready to Move,₹32 Lac
32,2 BHK Apartment for Sale in Parvati Garden,705 sqft,Unfurnished,Resale,Ready to Move,₹32 Lac
33,3 BHK Apartment for Sale in Multicon Estelle,1612 sqft,Unfurnished,Resale,Ready to Move,₹2.25 Cr
34,2 BHK Apartment for Sale in Golpark Cooperative Housing Society,980 sqft,Semi-Furnished,Resale,Ready to Move,₹50 Lac
35,2 BHK Apartment for Sale in Shyam Vihar Phase 2,850 sqft,Semi-Furnished,Resale,Ready to Move,₹38 Lac
36,Office Space for Sale in Ballygunge Kolkata,268 sqft,Semi-Furnished,Resale,Ready to Move,₹45 Lac
37,Shop for Sale in Vip Road Kolkata,580 sqft,Semi-Furnished,Resale,Ready to Move,₹55 Lac
38,3 BHK Apartment for Sale in Urban Heights,1241 sqft,Semi-Furnished,Resale,Ready to Move,₹1.25 Cr
39,3 BHK House for Sale in Thakurpukur Kolkata,1836 sqft,Unfurnished,Resale,Ready to Move,₹85 Lac
40,2 BHK Apartment for Sale in Rajarhat Kolkata,1140 sqft,Semi-Furnished,Resale,Ready to Move,₹1.60 Cr
41,2 BHK Apartment for Sale in Batanagar Kolkata,580 sqft,Furnished,Resale,Ready to Move,₹35 Lac
42,2 BHK Builder Floor for Sale in Buroshibtalla,750 sqft,Semi-Furnished,Resale,Ready to Move,₹59 Lac
43,2 BHK Apartment for Sale in Parnasree Palli Kolkata,652 sqft,Unfurnished,Resale,Ready to Move,₹51 Lac
44,3 BHK Apartment for Sale in Baguiati Kolkata,750 sqft,Semi-Furnished,Resale,Ready to Move,₹60 Lac
45,3 BHK Apartment for Sale in Batanagar Kolkata,820 sqft,Semi-Furnished,Resale,Ready to Move,₹42 Lac
46,3 BHK Apartment for Sale in Behala Kolkata,1000 sqft,Unfurnished,Resale,Ready to Move,₹75 Lac
47,3 BHK Apartment for Sale in Behala Chowrasta Kolkata,720 sqft,Unfurnished,Resale,Ready to Move,₹35 Lac
48,3 BHK House for Sale in Haridevpur,1817 sqft,Furnished,Resale,Ready to Move,₹84 Lac
49,3 BHK Apartment for Sale in Motilal Gupta Road Kolkata,1100 sqft,Unfurnished,Resale,Ready to Move,₹30 Lac
50,6 BHK House for Sale in Bangur Avenue,4400 sqft,Unfurnished,Resale,Ready to Move,₹2.80 Cr
51,5 BHK House for Sale in Ballygunge Kolkata,2142 sqft,Unfurnished,Resale,Ready to Move,₹1.45 Cr
52,2 BHK Apartment for Sale in Golf Towers,853 sqft,Semi-Furnished,Resale,Ready to Move,₹85 Lac
53,Showroom for Sale in Kankurgachi Kolkata,1675 sqft,Semi-Furnished,Resale,Ready to Move,₹2.50 Cr
54,Shop for Sale in Meena Florence,386 sqft,Unfurnished,Resale,Ready to Move,₹37 Lac
55,3 BHK Apartment for Sale in Greenfield City Classic Premium,850 sqft,Semi-Furnished,Resale,Ready to Move,₹50 Lac
56,2 BHK Apartment for Sale in Classic Tower,1120 sqft,,Resale,Ready to Move,₹1.50 Cr
57,1 BHK Apartment for Sale in Mukundapur Kolkata,272 sqft,,Resale,Ready to Move,₹15 Lac
58,3 BHK Apartment for Sale in Koyla Vihar Vasundhara,1800 sqft,,Resale,Ready to Move,₹1.35 Cr
59,3 BHK Apartment for Sale in Lake Town Kolkata,928 sqft,,,Ready to Move,₹42 Lac
60,4 BHK Apartment for Sale in Sugam Morya,1850 sqft,Unfurnished,Resale,Ready to Move,₹2.38 Cr
